Serial No,Event Date,Abstract Text,Nature of Injury
82,04/01/2017,"At 1:30 a.m. on April 1, 2017, maintenance Employee #1 was being trained by watching maintenance Employee #2 perform maintenance on a Fenco machine. Employee #2 was trouble shooting the low water level alarm on the machine and opened a drain valve. When the valve opened, hot water with a temperature of 197-198 degrees F sprayed on the right leg and foot of Employee #1. Employee #1 sustained second degree burns to the leg and foot. ",Fire Burn
83,04/01/2017,"At 1:00 p.m. on April 1, 2017, Employee #1, a foreman for a drywall contractor, was working at a commercial building project.  He was standing on a Perry scaffold and spraying Monokote material onto a steel beam.  According to the foreman's subsequent report, he slipped, tripped on the spraying hoses, and fell to the concrete floor, a fall height of 4 to 5 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for compound fractures to his leg, a dislocated left shoulder, and bruised ribs. ",Dislocation
84,3/31/2017,"On March 31, 2017, Employee #1 and coworkers were closing a fast food restaurant. Two armed robbers entered the store through an unlooked door.  One robber held the coworker at gunpoint in the dining area. The other robbery entered the managers office and shot and killed Employee #1. ",Serious Fall/Strike
85,3/31/2017,"At approximately 10:00 a.m. on March 31, 2017, an employee was unloading drill rods from the Ditch Witch drilling machine. The employee tried to unload the drill rod with the wrong hand and in the wrong direction. The employee's right hand got caught between the metal rod and a metal side of the machine and was smashed. The employee was taken to the hospital where he was hospitalized. ",Laceration
86,3/31/2017,"At approximately 10:30 a.m. on March 31, 2017, an employee was climbing two tier section of scaffolding.  The employee climbed the two tier scaffolding without safety glasses on and was standing up on the upper section. He was poked in the eye by metal wire protruding from ceiling. The employee suffered left eye injury and was hospitalized. ",Eye injury
87,3/31/2017,"At approximately 7:02 a.m. on March 31, 2017, Employee #1 was operating a forklift.  He was traveling down the dock and tried to enter a refrigerated trailer.  The trailer pulled away and the forklift drove off the dock and flipped on its side.  The forklift turned over pinning Employee #1 between the trailer and frame of the forklift, killing him. ","Bruising, Contusion"
88,3/31/2017,"At approximately 4:00 p.m. on March 31, 2017, an employee was covering a floor hole. He dropped bundle of shingles on the temporary floor hole and fell to lower level. The employee was hospitalized and treated for unspecified injuries. ",Puncture
89,3/30/2017,"At approximately 12:10 p.m. on March 30, 2017, Employee #1 was standing on a 6 foot self-supporting ladder.  He was pulling nails from the end of a single wooden brace used to temporally support a free standing end of an approximately 31 foot metal I-beam.  He fell off the ladder and was struck in the head and torso by a 3-inch diameter metal pole which was supporting the beam.  Employee #1 received blunt force injuries to his chest and died. ",Laceration
90,3/30/2017,"On March 30, 2017, an employee was trying to find the source of face water seepage in a trench. The face of the excavation partially collapsed knocking the employee down and trapping him. The employee suffered multiple fractures to lower left leg and was hospitalized. ","Fracture, Broken Bones"
91,3/30/2017,"At approximately 11:45 a.m. on March 30, 2017, Employee #1 was working from a bucket truck, approximately 14 foot high, replacing cable wire.  She was wearing a harness but it was not anchored to the bucket.  The bucket door was opened and Employee #1 fell to the ground landing on her face.  She was hospitalized for facial injuries and died a short time later. ","Fracture, Broken Bones"
92,3/30/2017,"At approximately 11:00 a.m. on March 30, 2017, an employee was cleaning a metal roof. The employee fell through a roof opening for a new air conditioning unit. The opening was not covered adequate, not secured and not marked as floor hole. The employee landed on the concrete floor and injured his head and back. The employee was hospitalized and treated for his injuries. ",Serious Fall/Strike
93,3/30/2017,"At approximately 10:30 a.m. on March 30, 2017, Employees #1, #2 and #3 were guiding a metal light pole from its base to the ground. The three employees were using a 4 feet cheater bar, inserted in bottom of the light pole and a coworker was pushing the light pole away from its concrete base.  As the employees were guiding the light pole, the top portion of the light pole came in contact with a 7,200v overhead power line. All three employees received electric shock. Employee #1 received burns to his hand and upper torso and was hospitalized. Employee #2 and #3 received burns to their hands and were not hospitalized. ",Fire Burn
94,3/30/2017,"At approximately 10:00 p.m. on March 30, 2017, an employee was troubleshooting a 480v switch gear. The employee was using a screwdriver inside an energized switch gear when the screwdriver caused a short between the bus bar and the frame which resulted in an arc flash. The employee received burns arc flash to his face and hands for which he was hospitalized.	 ",Fire Burn
95,3/30/2017,"At approximately 10:45 a.m. on March 30, 2017, Employee #1 and coworkers were installing approximately 1,050 feet of cable lines spanning five pre-existing utility poles.  The work required all vines and other natural growth to be removed so the lines could be properly lashed to the support cable.  Employee #1 was in a bucket truck and pulled the new line into position, referred to as jigging it out.  A coworker, foreman,  assisted in the operation by climbing trees and cutting vines away from the support cable ahead of the bucket truck. They were working on clearing the sticks and vines at a height of the communication lines, ranging between 14.25 and 15.75 foot high.  A grounded neutral conductor was sagging into the area of the communication lines at a height of 14.84.  The high voltage power lines consisted of three phases.  The A-phase line was located 25.67 foot above the ground, the B-phase line was located 25.67 foot above the ground, and the C-phase line was located 25 feet 8 inches above the ground.  The phase-to-phase voltage was 13,200 volts and the phase to ground voltage was 7620 volts.  The bucket truck, a Chevrolet work truck had an un-insulated lift with a maximum working platform level of 28 foot.  The coworker climbed down out of the tree and was walking near the truck and never saw Employee #1 extend the boom to elevate the bucket higher than the communication lines.  Employee #1 extended the boom and elevated the bucket too far above the communication lines to a point of making direct contact with the C-phase power line.  According to coworkers there was a loud buzzing noise and there were possibly two flashes.  The bucket was comprised of fiberglass but attached to it was a metal control box and the boom was un-insulated.  The back of Employee #1's head contacted the C-Phase power line.  The electricity traveled through Employee #1 and the boom of the truck to the ground.  Employee #1 was electrocuted with burns to his upper body from fire. ",Fire Burn
